lemma,verb form,percent as verb,percent as propn,Count as verb,Sentence,Doc index,Sent index,index of verb,entropy,%OPENCLASS
chance,chanced,0.01,0.01,13,"As Muthu disappeared behind the next door, Cheryl chanced a peek.",37292,17,9,0.180091993,1.0
chance,chancing,0.01,0.01,13,"But, I'm heading up north to see Snowball at her cottage in.... *counts on fingers* four hours, so I figure I'm better off not sleeping, and chancing annoying someone, than sleeping through my ride.",30968,11,34,0.180091993,1.0
chance,chance,0.01,0.01,13,"yes love for someone can grow...but sometimes, you take the risk and chance it...but it just doesnt happen..not meant to be kinda thing...",13995,0,15,0.180091993,1.0
chance,chanced,0.01,0.01,13,"Meanwhile, Charla & Mirna chanced upon a hooker!",947,9,5,0.180091993,1.0
chance,chanced,0.01,0.01,13,"She chanced a glance at her book, but no sooner had she looked down than when, with a flick of his wand, Professor Siva Summoned the book to him.",37300,34,1,0.180091993,1.0
chance,chanced,0.01,0.01,13,"I kind of think I chanced upon it while doing my OM research, because Rembrandt is one of the registered artists in the problem.",967,5,5,0.180091993,1.0
couch,couch,0.01,0.02,3,"'Nice,' because we presently couch our decisions to terminate people's lives on high-minded premises like being deformed or unwanted, rather than racial supremacy or  lebensraum .",22206,77,7,0.183012699,1.0
couch,couch,0.01,0.02,3,"Personally I fell into Anjan’s trap at the start of the year, I thought he was a lazy pig who would couch up and do nothing at home.",930,12,23,0.183012699,1.0
couch,couched,0.01,0.02,3,Much was couched in the application to family life but each line of questioning seemed to lead to God's path.,17231,11,2,0.183012699,1.0
founder,foundering,0.03,0.0,1,"That, in conjunction with a foundering economy that is only now, arguably, beginning to find its way again after two years of recession and three years of negative job growth, makes the 2004 election a referendum on Bush.",6105,13,6,0.183122068,1.0
obi,obi,0.03,0.97,1,[9:40 PM]: which was ' obi wan kenobi' mixed with : jar jar binks :,31751,4669,8,0.183122068,1.0
siguro,siguro,0.03,0.97,1,well siguro those jail guards thought it wasn't shabu at first...,37473,38,1,0.183122068,1.0
congrats,congrats,0.03,0.97,1,so ya congrats everyone who got awards!,9504,7,2,0.183122068,0.97
d.,d.,0.02,0.98,3,"i've been a customer there for 2 years, have a debit card there, had my ss card, 2 picture ids, but no drivers license - i lost it about 4 months ago.  and the fucking bitch there wouldn't notorize it because i didn't have the proper id.   fucking ho.",3071,1,56,0.183409383,1.0
d.,d.,0.02,0.98,3,on wed. the onlie im doin is goin to church at nite!,12828,10,2,0.183409383,1.0
d.,d.,0.02,0.98,3,"It started out really good and exciting, and then come Wed. it just stopped",6201,1,12,0.183409383,1.0
midst,Midst,0.01,0.01,1,"Midst my reminisce, I found these following links that remind me of what I used to do....of who I used to be...   urlLink Battling for Parking Spaces    urlLink",29354,2,0,0.184352433,1.0
button,button,0.02,0.01,7,Jeanette-Hardest button to button           Johnny-Ordinary(nothin spesh bout ya),39352,3,3,0.184469411,1.0
button,button,0.02,0.01,7,"Leaving the monastery, he must struggle with ancient values, modern emotions, and learning how to button his trousers without injuring himself.",31358,22,18,0.184469411,1.0
button,buttoning,0.02,0.01,7,I am having trouble buttoning some of my pants this week.,16686,11,4,0.184469411,1.0
button,button,0.02,0.01,7,I thought of wearing a shirt but couldnt button it.,30354,4,9,0.184469411,1.0
button,buttoned,0.02,0.01,7,"After about 10 minutes I admitted defeat, and zipped and buttoned up my ill fitting pants and headed back to my desk.",16719,38,11,0.184469411,1.0
button,buttoning,0.02,0.01,7,"Putting on SOCKS, SHOES, Zipping up pants, buckling them, buttoning up shirts.",12599,4,13,0.184469411,1.0
button,buttoned,0.02,0.01,7,"I put my shirt back on, see its all buttoned up and I miss Meghan.",27625,25,10,0.184469411,1.0
plane,planing,0.01,0.01,7,I have started making the large scroll duffelbag that I was planing for a while.,8832,4,11,0.184762925,1.0
plane,planed,0.01,0.01,7,"what so ever i think God has it all planed right, so no 1 will get bored.",21770,11,9,0.184762925,1.0
plane,planed,0.01,0.01,7,"our future depends on these little decisions that we are constantly making, one can say your life has been planed out by God, every step of the way was meant to be.",21788,6,20,0.184762925,1.0
plane,planed,0.01,0.01,7,"-after we went to frontera we spent the night at lindseys house, and then in the morning alex came over to go to six flags with us, we had planed to leave around 8:15..but we didn't get outta bed untill 8:30 haha.",25267,3,31,0.184762925,1.0
plane,Planing,0.01,0.01,7,"Planing to go see Ally over the 4th of July, that'll be fun :D then Jordan and Anton want me to stop by them in Chicago...",19024,8,0,0.184762925,1.0
plane,planed,0.01,0.01,7,"So maybe God has planed for me to die of liver failure from drinking to much rum, savvy?",35115,1,4,0.184762925,1.0
plane,planing,0.01,0.01,7,"I got it out today, planing on sticking it on my laptop, to go with my 'Nerds get Chicks' sticker.",11624,4,6,0.184762925,1.0
immune,immune,0.03,0.0,1,How can I immune myself with your absence And pretend to be happy when I’m sad?,18345,32,3,0.187176257,1.0
error,errors,0.01,0.01,3,"As with the cancer tests, Type I errors cause problems, but they are far better than Type II errors.",32285,17,8,0.188391534,1.0
error,errors,0.01,0.01,3,"From all accounts, the Bush administration (and the Blair government, and the French, and the Germans, and the UN, etc.) committed Type I errors in their assesment of Iraq's WMD capability.",32285,15,31,0.188391534,1.0
error,errors,0.01,0.01,3,"In Type I errors, the results offer a false positive--something that seems to be, really isn't.",32285,1,3,0.188391534,1.0
attitude,attitude,0.01,0.02,3,umm... sabi ba naman sakin ni sir: 'may naririnig ako... may attitude problem kadaw.. totoo bayun?' (yikes!),37451,14,15,0.188787073,1.0
attitude,attitude,0.01,0.02,3,"A risky strategy, I agree, to get oneself in to the position where a 6'3' aussie built like a rugby player could take exception to ones attitude and cause an awful lot of trouble...",26229,6,29,0.188787073,1.0
attitude,attitude,0.01,0.02,3,"sian diao..dunno if gt ss test anot..haiz, nv listen to chloe png teach cos ben kip on duting me-.- mus work hard le sia, n lvl yao lai le..sumtime will miss her-.-' BUDDEN she attitude change, wan to blame oso blame me la, she rite and i definitely wrong de lor a gd and pretty ger like her will xi huan shan wo meh? chey!~",27018,0,43,0.188787073,1.0
rare,raring,0.01,0.02,2,"However, I must say, I had a ton of fun, even though weeknight dodgeball can be quite tiring as opposed to Saturday Mornings, in which you are rested and raring to go.",8777,8,33,0.189070831,1.0
rare,raring,0.01,0.02,2,"2 guys cheer, raring to collect their winnings.",35396,47,4,0.189070831,1.0
gore,gored,0.02,0.98,2,actaully i gored my hand with a peice of wood and i kept poking pats penis iwth a lightsaber...once more...dont ask.,9415,5,2,0.189070831,1.0
gore,goring,0.02,0.98,2,"i didn't want to keep going because i needed to perform or wanted attention, hell goring myself onstage probably drew more attention than any perfomance i could have turned in, but my co-stars and director had worked so hard that it didn't seem fair for us to stop.",27586,42,17,0.189070831,1.0
lord,lords,0.01,0.97,5,"Then save me, or the passed day will shine Upon my pillow, breeding many woes,--   Save me from curious Conscience, that still lords Its strength for darkness, burrowing like a mole;    Turn the key deftly in the oiled wards, And seal the hushed Casket of my Soul.",9174,12,26,0.189300902,1.0
lord,lording,0.01,0.97,5,"in fact, he did the opposite, not of females lording over men, like some bra-burning feminists, but he really broke the social norms of that time...........the reason why Jesus commended the woman with the issue of blood was her faith..........",18105,38,11,0.189300902,1.0
lord,lording,0.01,0.97,5,"When we understand that we are eternally Krsna's servants, and that we are ALL Krsna's servants, where is the question of someone being better than another, or lording it over another?",31938,26,32,0.189300902,1.0
lord,lord,0.01,0.97,5,How can I lord it over someone else?,31938,28,3,0.189300902,1.0
lord,lording,0.01,0.97,5,"There's a picture of me on the cover in a pinstripe grey skirt-suit with blue flares (the color of this font), clutching my show lead white-knuckled and looking afraid, with the words  'DOG SHOW!'  lording over me.",28699,2,48,0.189300902,1.0
template,templates,0.01,0.02,2,"apparently i can't have it switched on,..booo company's letters and templates semua ,..isk isk isk,..",14087,2,14,0.189700775,1.0
template,template,0.01,0.02,2,"Okay, I'm going to suggest official rules to template changes, and other things.",28036,0,10,0.189700775,1.0
foe,foes,0.03,0.0,1,"Ah poverties, wincings, and sulky retreats,  Ah you foes that in conflict have overcome me,  (For what is my life or any man's life but a conflict with foes, the  old, the incessant war?)",29345,1,12,0.191433255,1.0
haze,hazed,0.03,0.0,1,To make it up there was the happiest moment of my life (of the ones that I could remember at that exhaustion hazed moment).,12416,111,23,0.191433255,1.0
clarinet,clarinets,0.03,0.0,1,GGGGOOOOOO clarinets!!!,39302,8,1,0.191433255,1.0
sight,sighted,0.02,0.01,8,"One of them sighted someone fleeing across another hill, and fired off a burst of his M-16.",12409,151,3,0.191553981,1.0
sight,Sighting,0.02,0.01,8,Sighting 4 : Zombies.,13767,29,0,0.191553981,1.0
sight,sighted,0.02,0.01,8,It's a pilgrimage sight because appiritions of the virgin mary have been sighted there.,15065,5,13,0.191553981,1.0
sight,sighted,0.02,0.01,8,I've sighted this somewhere in a place where it doesn't even fit at all.,30236,18,2,0.191553981,1.0
sight,sighted,0.02,0.01,8,"The sheer weight of endless volunteer walk-ins, their numbers higher than at any time since the 1992 Clinton campaign, does appear to be forcing some activity...a phone bank was sighted.",34090,8,35,0.191553981,1.0
sight,sighted,0.02,0.01,8,The funnel cloud was sighted farther away than I thought....,22634,16,4,0.191553981,1.0
sight,sighting,0.02,0.01,8,i love sighting wildlife.,37134,15,2,0.191553981,1.0
sight,sighted,0.02,0.01,8,"Champagne was first sighted (and promptly consumed) at 11am, and it carried on in a similar vein, moving from the office to posh gardens in Chelsea, onto a pub which quickly ran out of toilet paper and had its sinks filled with vomit.",28849,19,3,0.191553981,1.0
